num_bo,ano_bo,id_delegacia,nome_departamento,nome_seccional,delegacia,nome_departamento_circ,nome_seccional_circ,nome_delegacia_circ,ano,mes,flag_status,rubrica,desdobramento,conduta,latitude,longitude,location,cidade,logradouro,numero_logradouro,flag_status_2
866297,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DEMACRO,DEL.SEC.GUARULHOS,09º D.P. GUARULHOS,2016,7,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.414918941870798,-46.489713112121798,POINT(-46.489713112121798 -23.414918941870798),GUARULHOS,ESTRADA DO ELENCO,1600,C
507607,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.3º OESTE,14º D.P. PINHEIROS,2016,4,C,Furto (art. 155),NULL,INTERIOR TRANSPORTE COLETIVO,-23.5661986975384,-46.6918748274,POINT(-46.6918748274 -23.5661986975384),S.PAULO,AVENIDA BRIGADEIRO FARIA LIMA,1500,C
1088611,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DEMACRO,DEL.SEC.MOGI DAS CRUZES,02º D.P. MOGI DAS CRUZES,2016,8,C,Furto (art. 155),NULL,OUTROS,-23.5504740894999,-46.228210943500002,POINT(-46.228210943500002 -23.5504740894999),MOGI DAS CRUZES,RUA PAULO LEITE DE SIQUEIRA,578,C
4411,2016,30203,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.FRANCISCO MORATO,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.FRANCISCO MORATO,2016,11,C,Roubo (art. 157),NULL,OUTROS,-23.285481750999999,-46.7370152089999,POINT(-46.7370152089999 -23.285481750999999),FRANCISCO MORATO,RUA DAS HORTÊNCIAS,999,C
3161,2016,30404,DEMACRO,DEL.SEC.TABOÃO DA SERRA,DEL.POL.EMBU DAS ARTES,DEMACRO,DEL.SEC.TABOÃO DA SERRA,DEL.POL.EMBU DAS ARTES,2016,9,C,Lesão corporal (art 129 § 9º),NULL,NULL,-23.640951406713899,-46.849533330216602,POINT(-46.849533330216602 -23.640951406713899),EMBU,RUA MATO GROSSO,51,C
3459,2016,30408,DEMACRO,DEL.SEC.CARAPICUIBA,DEL.POL.JANDIRA,DEMACRO,DEL.SEC.CARAPICUIBA,DEL.POL.JANDIRA,2016,9,C,Furto (art. 155),NULL,INTERIOR ESTABELECIMENTO,-23.541849244707201,-46.895377292392901,POINT(-46.895377292392901 -23.541849244707201),JANDIRA,RUA NICOLAU MAYEVSKI,940,C
409581,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.4º NORTE,28º D.P.  FREGUESIA DO O,2016,3,C,Furto (art. 155),NULL,TRANSEUNTE,-23.481220247,-46.699119779999897,POINT(-46.699119779999897 -23.481220247),S.PAULO,Travessa Angela Lopes,134,C
5319,2016,30411,DEMACRO,DEL.SEC.OSASCO,01º D.P. OSASCO,DEMACRO,DEL.SEC.OSASCO,02º D.P. OSASCO,2016,9,C,Roubo (art. 157),NULL,OUTROS,-23.568585392999999,-46.790760185999901,POINT(-46.790760185999901 -23.568585392999999),OSASCO,RUA PAULO APARECIDO PEREIRA,302,C
775181,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.2º SUL,95º D.P. HELIÓPOLIS,2016,6,C,Roubo (art. 157),NULL,VEICULO,-23.635778963999901,-46.587962145999903,POINT(-46.587962145999903 -23.635778963999901),S.PAULO,RUA DOS SERTANEJOS,176,C
1409393,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.3º OESTE,46º D.P.  PERUS,2016,11,C,Furto (art. 155),NULL,INTERIOR TRANSPORTE COLETIVO,-23.4336506687949,-46.729808666778801,POINT(-46.729808666778801 -23.4336506687949),S.PAULO,RUA ALEXANDRE ORLOV,403,C
909,2016,10236,DECAP,DEL.SEC.2º SUL,36º D.P.  VILA MARIANA,DECAP,DEL.SEC.1º CENTRO,05º D.P. ACLIMACAO,2016,4,C,"Furto qualificado (art. 155, §4o.)",§4o. Se o crime é cometido:,INTERIOR DE VEICULO,-23.553944069741899,-46.646872793213802,POINT(-46.646872793213802 -23.553944069741899),S.PAULO,RUA TREZE DE MAIO,100,C
2134,2016,30124,DEMACRO,DEL.SEC.SANTO ANDRÉ,01º D.P. MAUA,DEMACRO,DEL.SEC.SANTO ANDRÉ,01º D.P. MAUA,2016,4,C,Lesão corporal culposa na direção de veículo automotor (Art. 303),NULL,NULL,-23.670989999947299,-46.448853925684197,POINT(-46.448853925684197 -23.670989999947299),MAUA,RUA BRÁS CUBAS,795,C
